 ID,P.Value,logFC
MIMAT0018352,0.27728,0.28675
MIMAT0022947,0.2786,0.28911
MIMAT0027573,0.27861,0.30874
MIMAT0019027,0.27885,0.23757
MIMAT0019820,0.27922,0.30708
MIMAT0019956,0.27987,0.23119
MIMAT0027679,0.28019,0.30036
MIMAT0027641,0.28081,0.33814
MIMAT0027640,0.28159,0.31728
MIMAT0028211,0.28206,0.32077
MIMAT0019777,0.28294,0.25585
MIMAT0027459,0.28484,0.32408
MIMAT0027503,0.28512,0.31981
MIMAT0027547,0.2858,0.34104
MIMAT0027397,0.28592,0.32702
MIMAT0019868,0.28804,0.26814
MIMAT0027521,0.28872,0.29381
MIMAT0005582,0.29244,0.27573
MIMAT0015041,0.29272,0.32694
MIMAT0019878,0.29384,0.22759
MIMAT0019912,0.29528,0.32393
MIMAT0027392,0.29756,0.2622
MIMAT0027442,0.29758,0.2483
MIMAT0019715,0.29781,0.24707
MIMAT0027624,0.29802,0.31989
MIMAT0027675,0.29861,0.30645
MIMAT0015069,0.29868,0.2783
MIMAT0030979,0.29909,0.25667
MIMAT0004609,0.29945,0.27632
MIMAT0027549,0.30025,0.29523
MIMAT0027555,0.30071,0.29415
MIMAT0027562,0.30087,0.33866
MIMAT0027412,0.30209,0.26796
MIMAT0027495,0.30213,0.29477
MIMAT0027465,0.30238,0.29867
MIMAT0005591,0.30343,0.34608
MIMAT0003304,0.30363,0.28498
MIMAT0015058,0.30386,0.24807
MIMAT0017992,0.30405,0.25366
MIMAT0019903,0.30413,0.24369
MIMAT0027619,0.30538,0.25488
MIMAT0004947,0.30596,0.3198
MIMAT0027363,0.30727,0.30317
MIMAT0019710,0.30901,0.33843
MIMAT0027593,0.31008,0.29601
MIMAT0027395,0.31058,0.27706
MIMAT0027635,0.31079,0.28707
MIMAT0002824,0.31197,0.26595
MIMAT0027469,0.31274,0.27138
MIMAT0027475,0.31772,0.30512
MIMAT0028118,0.31778,0.2948
MIMAT0003237,0.31988,0.25586
MIMAT0027567,0.32064,0.30584
MIMAT0018178,0.32066,0.25114
MIMAT0028115,0.3228,0.28244
MIMAT0015049,0.32432,0.24032
MIMAT0027432,0.32455,0.26619
MIMAT0019867,0.32794,0.26754
MIMAT0025844,0.32819,0.27939
MIMAT0016881,0.3292,0.27173
MIMAT0030413,0.32959,0.24234
MIMAT0025479,0.33022,0.30751
MIMAT0016921,0.33063,0.32181
MIMAT0027509,0.33321,0.27276
MIMAT0006790,0.33336,0.31254
MIMAT0027558,0.33343,0.2616
MIMAT0027027,0.33449,0.30791
MIMAT0019947,0.33665,0.24079
MIMAT0027615,0.33678,0.27293
MIMAT0027553,0.33855,0.27462
MIMAT0016916,0.34048,0.28373
MIMAT0019045,0.34059,0.21595
MIMAT0021043,0.3419,0.2667
MIMAT0019229,0.34377,0.23992
MIMAT0004780,0.3455,0.28662
MIMAT0019815,0.34595,0.28677
MIMAT0023712,0.34692,0.23533
MIMAT0005911,0.34713,0.26859
MIMAT0019708,0.34775,0.29745
MIMAT0027453,0.34855,0.27063
MIMAT0018987,0.34998,0.23363
MIMAT0027406,0.35006,0.22462
MIMAT0018003,0.35025,0.30758
MIMAT0019837,0.35086,0.29658
MIMAT0027438,0.35179,0.24219
MIMAT0015052,0.35205,0.27233
MIMAT0005827,0.35212,0.26458
MIMAT0027471,0.35561,0.2451
MIMAT0005951,0.35705,0.25412
